training_state,tls_id,action,tl_durations,reward,max_previous_local,max_new_local,neighbors,max_previous_neighbors,max_new_neighbors
720,JM1,"('decrease_green', 'JM1')","[67.0, 3.0, 37.0]",0,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.644122383252818]","[0.8526764566556135, 0.6671267540832758]"
720,JM2,"('increase_red', 'JM2')","[72.0, 3.0, 31.0]",4,0.6671267540832758,0.644122383252818,"['JM1', 'J3']","[0.7818681062968307, 0.21273242987708793]","[0.7818681062968307, 0.21273242987708793]"
721,J3,"('increase_green', 'J3')","[64.0, 3.0, 20.0]",2,0.18909549322407818,0.18909549322407818,['JM2'],[0.6671267540832758],[0.6671267540832758]
721,JM0,"('decrease_red', 'JM0')","[60.0, 3.0, 44.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
721,JM1,"('increase_green', 'JM1')","[66.0, 3.0, 37.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.6901311249137336]","[0.8526764566556135, 0.6901311249137336]"
721,JM2,"('increase_green', 'JM2')","[72.0, 3.0, 32.0]",1,0.6901311249137336,0.7131354957441914,"['JM1', 'J3']","[0.7818681062968307, 0.1654585565710684]","[0.7818681062968307, 0.14182161991805864]"
722,J3,"('increase_green', 'J3')","[65.0, 3.0, 20.0]",0,0.14182161991805864,0.11818468326504886,['JM2'],[0.6901311249137336],[0.7131354957441914]
722,JM0,"('no_change', 'JM0')","[60.0, 3.0, 43.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
722,JM1,"('increase_red', 'JM1')","[67.0, 3.0, 37.0]",0,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.7131354957441914]","[0.8526764566556135, 0.7361398665746492]"
722,JM2,"('increase_green', 'JM2')","[73.0, 3.0, 32.0]",4,0.7361398665746492,0.7131354957441914,"['JM1', 'J3']","[0.7818681062968307, 0.09454774661203909]","[0.7818681062968307, 0.09454774661203909]"
723,J3,"('decrease_red', 'J3')","[66.0, 3.0, 20.0]",3,0.09454774661203909,0.07091080995902932,['JM2'],[0.7361398665746492],[0.7361398665746492]
723,JM0,"('increase_green', 'JM0')","[60.0, 3.0, 43.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
723,JM1,"('decrease_red', 'JM1')","[67.0, 3.0, 38.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.7361398665746492]","[0.8526764566556135, 0.7361398665746492]"
723,JM2,"('decrease_red', 'JM2')","[74.0, 3.0, 32.0]",0,0.7361398665746492,0.759144237405107,"['JM1', 'J3']","[0.7818681062968307, 0.07091080995902932]","[0.7818681062968307, 0.07091080995902932]"
724,J3,"('increase_green', 'J3')","[66.0, 3.0, 19.0]",3,0.07091080995902932,0.047273873306019544,['JM2'],[0.759144237405107],[0.759144237405107]
724,JM0,"('decrease_green', 'JM0')","[61.0, 3.0, 43.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
724,JM1,"('no_change', 'JM1')","[67.0, 3.0, 37.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.7821486082355648]","[0.8526764566556135, 0.7821486082355648]"
724,JM2,"('no_change', 'JM2')","[74.0, 3.0, 31.0]",3,0.7821486082355648,0.7821486082355648,"['JM1', 'J3']","[0.7818681062968307, 0.047273873306019544]","[0.7818681062968307, 0.047273873306019544]"
725,J3,"('decrease_green', 'J3')","[67.0, 3.0, 19.0]",2,0.023636936653009772,0.023636936653009772,['JM2'],[0.7821486082355648],[0.7821486082355648]
725,JM0,"('decrease_red', 'JM0')","[60.0, 3.0, 43.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
725,JM1,"('no_change', 'JM1')","[67.0, 3.0, 37.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.7821486082355648]","[0.8526764566556135, 0.7821486082355648]"
725,JM2,"('increase_green', 'JM2')","[74.0, 3.0, 31.0]",3,0.7821486082355648,0.7821486082355648,"['JM1', 'J3']","[0.7818681062968307, 0.023636936653009772]","[0.7818681062968307, 0.023636936653009772]"
726,J3,"('increase_green', 'J3')","[66.0, 3.0, 19.0]",-1,0.023636936653009772,0.047273873306019544,['JM2'],[0.7821486082355648],[0.7821486082355648]
726,JM0,"('decrease_green', 'JM0')","[60.0, 3.0, 42.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
726,JM1,"('no_change', 'JM1')","[67.0, 3.0, 37.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.7821486082355648]","[0.8526764566556135, 0.7821486082355648]"
726,JM2,"('increase_red', 'JM2')","[75.0, 3.0, 31.0]",3,0.7821486082355648,0.7821486082355648,"['JM1', 'J3']","[0.7818681062968307, 0.047273873306019544]","[0.7818681062968307, 0.047273873306019544]"
727,J3,"('decrease_green', 'J3')","[67.0, 3.0, 19.0]",2,0.047273873306019544,0.047273873306019544,['JM2'],[0.7821486082355648],[0.7821486082355648]
727,JM0,"('increase_green', 'JM0')","[59.0, 3.0, 42.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
727,JM1,"('increase_red', 'JM1')","[67.0, 3.0, 37.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.7821486082355648]","[0.8526764566556135, 0.7821486082355648]"
727,JM2,"('decrease_red', 'JM2')","[75.0, 3.0, 32.0]",3,0.7821486082355648,0.7821486082355648,"['JM1', 'J3']","[0.7818681062968307, 0.047273873306019544]","[0.7818681062968307, 0.047273873306019544]"
728,J3,"('increase_red', 'J3')","[66.0, 3.0, 19.0]",3,0.047273873306019544,0.047273873306019544,['JM2'],[0.7821486082355648],[0.759144237405107]
728,JM0,"('decrease_green', 'JM0')","[60.0, 3.0, 42.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
728,JM1,"('decrease_red', 'JM1')","[67.0, 3.0, 38.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.759144237405107]","[0.8526764566556135, 0.759144237405107]"
728,JM2,"('no_change', 'JM2')","[75.0, 3.0, 31.0]",4,0.759144237405107,0.7361398665746492,"['JM1', 'J3']","[0.7818681062968307, 0.07091080995902932]","[0.7818681062968307, 0.07091080995902932]"
729,J3,"('increase_green', 'J3')","[66.0, 3.0, 20.0]",2,0.09454774661203909,0.09454774661203909,['JM2'],[0.7361398665746492],[0.7361398665746492]
729,JM0,"('no_change', 'JM0')","[59.0, 3.0, 42.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
729,JM1,"('no_change', 'JM1')","[67.0, 3.0, 37.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.7131354957441914]","[0.8526764566556135, 0.7131354957441914]"
729,JM2,"('increase_red', 'JM2')","[75.0, 3.0, 31.0]",1,0.7131354957441914,0.6901311249137336,"['JM1', 'J3']","[0.7818681062968307, 0.11818468326504886]","[0.7818681062968307, 0.14182161991805864]"
730,J3,"('increase_green', 'J3')","[67.0, 3.0, 20.0]",0,0.11818468326504886,0.14182161991805864,['JM2'],[0.6901311249137336],[0.6671267540832758]
